tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,filter_half,1000000,1000000,1000,4,4.637730000000007e7,0.0,0,0
dask,filter_half,10000000,1000000,1000,4,1.5248680000000015e8,0.0,0,0
dask,filter_half,100000000,1000000,1000,4,1.4194708e9,0.0,0,0
dask,filter_half,500000000,1000000,1000,4,8.8105963e9,0.0,0,0
dask,filter_half,1000000000,1000000,1000,4,7.185544089999998e10,0.0,0,0
dataframesjl,filter_half,1000000,1000000,1000,4,2.8822e6,0.0,12107648,36
dataframesjl,filter_half,10000000,1000000,1000,4,2.02738e7,0.0,121018096,73
dataframesjl,filter_half,100000000,1000000,1000,4,2.189333e8,810600.0,1210136144,74
dataframesjl,filter_half,500000000,1000000,1000,4,1.0590458e9,675700.0,6050464784,74
dataframesjl,filter_half,1000000000,1000000,1000,4,3.49238581e10,1.211627e8,12100834128,74
dtable,filter_half,1000000,1000000,1000,4,4.85372e7,0.0,21052800,489848
dtable,filter_half,10000000,1000000,1000,4,2.41543e8,0.0,210363616,4900872
dtable,filter_half,100000000,1000000,1000,4,2.7013792e9,2.058454e8,2106354320,49011534
dtable,filter_half,500000000,1000000,1000,4,1.39177632e10,1.3595342e9,10564790240,245641604
dtable,filter_half,1000000000,1000000,1000,4,2.89729369e10,2.8824323e9,21198616480,492856054
