tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,groupby_single_col,1000000,1000000,1000,4,3.255965e9,0.0,0,0
dask,groupby_single_col,10000000,1000000,1000,4,1.0122192799999996e10,0.0,0,0
dask,groupby_single_col,100000000,1000000,1000,4,7.586492729999998e10,0.0,0,0
dask,groupby_single_col,500000000,1000000,1000,4,7.74817377e10,0.0,0,0
dask,groupby_single_col,1000000000,1000000,1000,4,2.230996006e11,0.0,0,0
dataframesjl,groupby_single_col,1000000,1000000,1000,4,792500.0,0.0,8043096,305
dataframesjl,groupby_single_col,10000000,1000000,1000,4,6.4851e6,0.0,80043064,304
dataframesjl,groupby_single_col,100000000,1000000,1000,4,6.5088e7,0.0,800043096,305
dataframesjl,groupby_single_col,500000000,1000000,1000,4,3.568686e8,329300.0,4000043096,305
dataframesjl,groupby_single_col,1000000000,1000000,1000,4,9.075935e8,282900.0,8000043128,306
dtable,groupby_single_col,1000000,1000000,1000,4,2.202117e8,2.93492e7,254931442,2320032
dtable,groupby_single_col,10000000,1000000,1000,4,1.1560993e9,3.670125e8,2596366213,23836966
dtable,groupby_single_col,100000000,1000000,1000,4,2.98140366e10,1.91473077e10,24770470069,217956007
dtable,groupby_single_col,500000000,1000000,1000,4,3.594923117e11,2.737017342e11,123356936277,1085361324
dtable,groupby_single_col,1000000000,1000000,1000,4,1.4516558816e12,1.0260938622e12,253911044224,2320463747
