tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,grouped_reduce_mean_allcols,1000000,1000000,1000,4,6.589950200000001e9,0.0,0,0
dask,grouped_reduce_mean_allcols,10000000,1000000,1000,4,7.158935599999999e9,0.0,0,0
dask,grouped_reduce_mean_allcols,100000000,1000000,1000,4,1.2644328099999996e10,0.0,0,0
dask,grouped_reduce_mean_allcols,500000000,1000000,1000,4,3.16235633e10,0.0,0,0
dask,grouped_reduce_mean_allcols,1000000000,1000000,1000,4,1.5258731e11,0.0,0,0
dataframesjl,grouped_reduce_mean_allcols,1000000,1000000,1000,4,2.9347e6,0.0,259744,5597
dataframesjl,grouped_reduce_mean_allcols,10000000,1000000,1000,4,6.44942e7,0.0,259360,5585
dataframesjl,grouped_reduce_mean_allcols,100000000,1000000,1000,4,7.939229e8,0.0,259680,5595
dataframesjl,grouped_reduce_mean_allcols,500000000,1000000,1000,4,4.3768231e9,0.0,259136,5578
dataframesjl,grouped_reduce_mean_allcols,1000000000,1000000,1000,4,9.2797975e9,0.0,259776,5598
dtable,grouped_reduce_mean_allcols,1000000,1000000,1000,4,3.352018e8,2.91802e7,157210225,2511409
dtable,grouped_reduce_mean_allcols,10000000,1000000,1000,4,3.368362e8,0.0,171596704,2766978
dtable,grouped_reduce_mean_allcols,100000000,1000000,1000,4,4.816113e8,0.0,215617904,3497113
dtable,grouped_reduce_mean_allcols,500000000,1000000,1000,4,2.2744681e9,3.384029e8,388965441,6874650
dtable,grouped_reduce_mean_allcols,1000000000,1000000,1000,4,5.3186912e9,1.9532558e9,532218592,11558462
