tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,grouped_reduce_mean_singlecol,1000000,1000000,10000,4,3.3902695300000004e10,0.0,0,0
dask,grouped_reduce_mean_singlecol,10000000,1000000,10000,4,3.5937065000000015e10,0.0,0,0
dask,grouped_reduce_mean_singlecol,100000000,1000000,10000,4,8.021313929999997e10,0.0,0,0
dataframesjl,grouped_reduce_mean_singlecol,1000000,1000000,10000,4,1.0556e6,0.0,549944,10557
dataframesjl,grouped_reduce_mean_singlecol,10000000,1000000,10000,4,1.10782e7,0.0,549976,10558
dataframesjl,grouped_reduce_mean_singlecol,100000000,1000000,10000,4,1.93416e8,0.0,549912,10556
dataframesjl,grouped_reduce_mean_singlecol,500000000,1000000,10000,4,1.0607714e9,0.0,549944,10557
dataframesjl,grouped_reduce_mean_singlecol,1000000000,1000000,10000,4,2.2617846e9,0.0,549944,10557
dtable,grouped_reduce_mean_singlecol,1000000,1000000,10000,4,2.9270545e9,4.842334e8,1324310264,19671218
dtable,grouped_reduce_mean_singlecol,10000000,1000000,10000,4,3.4635985e9,3.836107e8,1480349656,22773958
dtable,grouped_reduce_mean_singlecol,100000000,1000000,10000,4,8.855509e9,4.0289618e9,2050006936,32836670
dtable,grouped_reduce_mean_singlecol,500000000,1000000,10000,4,4.17173369e10,3.06856217e10,3736721176,65838453
dtable,grouped_reduce_mean_singlecol,1000000000,1000000,10000,4,1.033874479e11,8.44766791e10,5049653352,110238643
