tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,reduce_var_single,1000000,1000000,1000,4,3.63872999999999e7,0.0,0,0
dask,reduce_var_single,10000000,1000000,1000,4,1.4867969999999976e8,0.0,0,0
dask,reduce_var_single,100000000,1000000,1000,4,9.27919300000001e8,0.0,0,0
dask,reduce_var_single,500000000,1000000,1000,4,4.4537914e9,0.0,0,0
dask,reduce_var_single,1000000000,1000000,1000,4,4.51333142e10,0.0,0,0
dataframesjl,reduce_var_single,1000000,1000000,1000,4,2.1149e6,0.0,4856,85
dataframesjl,reduce_var_single,10000000,1000000,1000,4,2.06499e7,0.0,4856,85
dataframesjl,reduce_var_single,100000000,1000000,1000,4,2.07467e8,0.0,4856,85
dataframesjl,reduce_var_single,500000000,1000000,1000,4,1.0524697e9,0.0,4856,85
dataframesjl,reduce_var_single,1000000000,1000000,1000,4,2.0701779e9,0.0,4856,85
dtable,reduce_var_single,1000000,1000000,1000,4,3.761e6,0.0,530128,10153
dtable,reduce_var_single,10000000,1000000,1000,4,8.1106e6,0.0,1401312,28367
dtable,reduce_var_single,100000000,1000000,1000,4,6.11831e7,0.0,13703744,209696
dtable,reduce_var_single,500000000,1000000,1000,4,3.077073e8,1.21621e7,67547248,1026388
dtable,reduce_var_single,1000000000,1000000,1000,4,6.621133e8,3.65993e7,142901232,2256125
