tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,filter_half,1000000,1000000,1000,4,4.637730000000007e7,0.0,0,0
dask,filter_half,10000000,1000000,1000,4,1.5248680000000015e8,0.0,0,0
dask,filter_half,100000000,1000000,1000,4,1.4194708e9,0.0,0,0
dask,filter_half,500000000,1000000,1000,4,8.8105963e9,0.0,0,0
dask,filter_half,1000000000,1000000,1000,4,7.185544089999998e10,0.0,0,0
dataframesjl,filter_half,1000000,1000000,1000,4,9.18281e7,411100.0,51933952,2487022
dataframesjl,filter_half,10000000,1000000,1000,4,9.219137e8,2.04083e7,519323120,24881420
dataframesjl,filter_half,100000000,1000000,1000,4,8.1544441e9,4.55311e7,5193326992,248796933
dataframesjl,filter_half,500000000,1000000,1000,4,4.47347709e10,2.71893e8,25966447760,1243997116
dataframesjl,filter_half,1000000000,1000000,1000,4,1.293018982e11,4.434039e8,51932839728,2488019339
dtable,filter_half,1000000,1000000,1000,4,4.85372e7,0.0,21052800,489848
dtable,filter_half,10000000,1000000,1000,4,2.41543e8,0.0,210363616,4900872
dtable,filter_half,100000000,1000000,1000,4,2.7013792e9,2.058454e8,2106354320,49011534
dtable,filter_half,500000000,1000000,1000,4,1.39177632e10,1.3595342e9,10564790240,245641604
dtable,filter_half,1000000000,1000000,1000,4,2.89729369e10,2.8824323e9,21198616480,492856054
