tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,filter_half,1000000,1000000,10000,4,4.039419999999972e7,0.0,0,0
dask,filter_half,10000000,1000000,10000,4,1.6559679999999988e8,0.0,0,0
dask,filter_half,100000000,1000000,10000,4,1.3895816000000005e9,0.0,0,0
dask,filter_half,500000000,1000000,10000,4,8.7532583e9,0.0,0,0
dataframesjl,filter_half,1000000,1000000,10000,4,1.037628e8,391800.0,75305168,3948371
dataframesjl,filter_half,10000000,1000000,10000,4,1.0641816e9,4.15306e7,753080848,39487866
dataframesjl,filter_half,100000000,1000000,10000,4,8.9360415e9,6.95196e7,7530601680,394878142
dataframesjl,filter_half,500000000,1000000,10000,4,4.57070322e10,3.612174e8,37652761424,1974397697
dataframesjl,filter_half,1000000000,1000000,10000,4,1.449543281e11,9.874836e8,75305644480,3948810536
dtable,filter_half,1000000,1000000,10000,4,5.99072e7,0.0,44434384,1951197
dtable,filter_half,10000000,1000000,10000,4,3.251335e8,0.0,444034336,19506574
dtable,filter_half,100000000,1000000,10000,4,3.75638e9,4.67778e8,4443499360,195102499
dtable,filter_half,500000000,1000000,10000,4,2.0389132e10,5.8197616e9,22266349408,976374987
dtable,filter_half,1000000000,1000000,10000,4,4.3349588e10,1.301139e10,44635989424,1955109113
