tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,groupby_reduce_mean_all,1000000,10000000,10000,4,9.724225849999998e10,0.0,0,0
dask,groupby_reduce_mean_all,10000000,10000000,10000,4,9.946962959999998e10,0.0,0,0
dask,groupby_reduce_mean_all,100000000,10000000,10000,4,1.7575833930000003e11,0.0,0,0
dataframesjl,groupby_reduce_mean_all,1000000,10000000,10000,4,8.1898e6,0.0,18157592,42013
dataframesjl,groupby_reduce_mean_all,10000000,10000000,10000,4,1.299044e8,0.0,162157240,42002
dataframesjl,groupby_reduce_mean_all,100000000,10000000,10000,4,1.4173677e9,988700.0,1602157496,42010
dataframesjl,groupby_reduce_mean_all,500000000,10000000,10000,4,7.7580663e9,782300.0,8002157112,41998
dataframesjl,groupby_reduce_mean_all,1000000000,10000000,10000,4,1.113327871e11,1.183124e8,16002157016,41995
dtable,groupby_reduce_mean_all,1000000,10000000,10000,4,3.7806001e9,5.480037e8,1839106576,28156358
dtable,groupby_reduce_mean_all,10000000,10000000,10000,4,6.9150072e9,1.3033017e9,4020908352,46984393
dtable,groupby_reduce_mean_all,100000000,10000000,10000,4,9.71634873e10,5.61580888e10,28858174712,290149074
dtable,groupby_reduce_mean_all,500000000,10000000,10000,4,1.1927594113e12,7.615841964e11,133493659042,1285347910
dtable,groupby_reduce_mean_all,1000000000,10000000,10000,4,3.1536503751e12,1.7929909418e12,272931937778,2720964115
