tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,groupby_reduce_mean_all,1000000,10000000,1000,4,9.3679355e9,0.0,0,0
dask,groupby_reduce_mean_all,10000000,10000000,1000,4,1.16136391e10,0.0,0,0
dask,groupby_reduce_mean_all,100000000,10000000,1000,4,3.44168646e10,0.0,0,0
dask,groupby_reduce_mean_all,500000000,10000000,1000,4,4.154208293e11,0.0,0,0
dask,groupby_reduce_mean_all,1000000000,10000000,1000,4,2.2086942614e12,0.0,0,0
dataframesjl,groupby_reduce_mean_all,1000000,10000000,1000,4,6.3056e6,0.0,16319256,5907
dataframesjl,groupby_reduce_mean_all,10000000,10000000,1000,4,1.095514e8,0.0,160319032,5900
dataframesjl,groupby_reduce_mean_all,100000000,10000000,1000,4,1.1192435e9,608500.0,1600318872,5895
dataframesjl,groupby_reduce_mean_all,500000000,10000000,1000,4,6.2188472e9,932600.0,8000319288,5908
dataframesjl,groupby_reduce_mean_all,1000000000,10000000,1000,4,8.33716667e10,2.643908e8,16000318776,5892
dtable,groupby_reduce_mean_all,1000000,10000000,1000,4,4.568626e8,2.96673e7,397386418,4538877
dtable,groupby_reduce_mean_all,10000000,10000000,1000,4,2.4238253e9,4.218632e8,3109304946,22589747
dtable,groupby_reduce_mean_all,100000000,10000000,1000,4,1.85971853e10,8.7689155e9,29887041296,206928914
dtable,groupby_reduce_mean_all,500000000,10000000,1000,4,2.343499798e11,8.6808982e10,148352851713,1017610298
dtable,groupby_reduce_mean_all,1000000000,10000000,1000,4,1.5390206177e12,5.542005722e11,296952931880,2040109111
