tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,groupby_single_col,1000000,10000000,1000,4,3.2081324e9,0.0,0,0
dask,groupby_single_col,10000000,10000000,1000,4,4.770917200000001e9,0.0,0,0
dask,groupby_single_col,100000000,10000000,1000,4,2.2505386799999996e10,0.0,0,0
dask,groupby_single_col,500000000,10000000,1000,4,2.1202477910000006e11,0.0,0,0
dask,groupby_single_col,1000000000,10000000,1000,4,8.174894292999998e11,0.0,0,0
dataframesjl,groupby_single_col,1000000,10000000,1000,4,792500.0,0.0,8043096,305
dataframesjl,groupby_single_col,10000000,10000000,1000,4,6.4851e6,0.0,80043064,304
dataframesjl,groupby_single_col,100000000,10000000,1000,4,6.5088e7,0.0,800043096,305
dataframesjl,groupby_single_col,500000000,10000000,1000,4,3.568686e8,329300.0,4000043096,305
dataframesjl,groupby_single_col,1000000000,10000000,1000,4,9.075935e8,282900.0,8000043128,306
dtable,groupby_single_col,1000000,10000000,1000,4,2.179418e8,2.95528e7,254931506,2320034
dtable,groupby_single_col,10000000,10000000,1000,4,2.1302904e9,3.490828e8,2960692741,20243848
dtable,groupby_single_col,500000000,10000000,1000,4,2.365069753e11,8.90567094e10,148064130102,1012753800
dtable,groupby_single_col,1000000000,10000000,1000,4,1.4752340608e12,6.362766299e11,296172687797,2025939288
