tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,grouped_reduce_mean_allcols,1000000,1000000,10000,4,6.557365740000003e10,0.0,0,0
dask,grouped_reduce_mean_allcols,10000000,1000000,10000,4,6.8353623299999985e10,0.0,0,0
dask,grouped_reduce_mean_allcols,100000000,1000000,10000,4,1.2046420089999992e11,0.0,0,0
dataframesjl,grouped_reduce_mean_allcols,1000000,1000000,10000,4,3.0709e6,0.0,1808704,41697
dataframesjl,grouped_reduce_mean_allcols,10000000,1000000,10000,4,7.15117e7,0.0,1808832,41701
dataframesjl,grouped_reduce_mean_allcols,100000000,1000000,10000,4,7.989249e8,0.0,1808640,41695
dataframesjl,grouped_reduce_mean_allcols,500000000,1000000,10000,4,4.4847724e9,0.0,1808320,41685
dataframesjl,grouped_reduce_mean_allcols,1000000000,1000000,10000,4,1.58465667e10,0.0,1808000,41675
dtable,grouped_reduce_mean_allcols,1000000,1000000,10000,4,4.4380164e9,6.930253e8,1757668192,29056525
dtable,grouped_reduce_mean_allcols,10000000,1000000,10000,4,5.6549763e9,5.955518e8,1963393504,34240775
dtable,grouped_reduce_mean_allcols,100000000,1000000,10000,4,1.17387078e10,5.3724497e9,2546822482,44249430
dtable,grouped_reduce_mean_allcols,500000000,1000000,10000,4,5.05101009e10,3.67089974e10,4541441328,82387918
