tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,grouped_reduce_mean_singlecol,1000000,10000000,10000,4,3.3987728500000004e10,0.0,0,0
dask,grouped_reduce_mean_singlecol,10000000,10000000,10000,4,3.515470549999998e10,0.0,0,0
dask,grouped_reduce_mean_singlecol,100000000,10000000,10000,4,6.6394714099999985e10,0.0,0,0
dataframesjl,grouped_reduce_mean_singlecol,1000000,10000000,10000,4,1.0556e6,0.0,549944,10557
dataframesjl,grouped_reduce_mean_singlecol,10000000,10000000,10000,4,1.10782e7,0.0,549976,10558
dataframesjl,grouped_reduce_mean_singlecol,100000000,10000000,10000,4,1.93416e8,0.0,549912,10556
dataframesjl,grouped_reduce_mean_singlecol,500000000,10000000,10000,4,1.0607714e9,0.0,549944,10557
dataframesjl,grouped_reduce_mean_singlecol,1000000000,10000000,10000,4,2.2617846e9,0.0,549944,10557
dtable,grouped_reduce_mean_singlecol,1000000,10000000,10000,4,2.9404869e9,4.857521e8,1324555352,19670262
dtable,grouped_reduce_mean_singlecol,10000000,10000000,10000,4,2.6867295e9,2.452827e8,1336046792,19658342
dtable,grouped_reduce_mean_singlecol,100000000,10000000,10000,4,6.0751462e9,2.4848308e9,1618149640,25608361
dtable,grouped_reduce_mean_singlecol,500000000,10000000,10000,4,8.2705021e9,3.915359e9,1764795128,28904636
dtable,grouped_reduce_mean_singlecol,1000000000,10000000,10000,4,1.21871879e10,7.1002971e9,2049676616,32997660
