tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,increment_map,1000000,10000000,1000,4,5.466100000000029e6,0.0,0,0
dask,increment_map,10000000,10000000,1000,4,4.390310000000008e7,0.0,0,0
dask,increment_map,100000000,10000000,1000,4,1.5951139999999997e8,0.0,0,0
dask,increment_map,500000000,10000000,1000,4,7.197109000000004e8,0.0,0,0
dask,increment_map,1000000000,10000000,1000,4,5.63098534e10,0.0,0,0
dataframesjl,increment_map,1000000,10000000,1000,4,927300.0,0.0,8004920,90
dataframesjl,increment_map,10000000,10000000,1000,4,8.6164e6,0.0,80004920,90
dataframesjl,increment_map,100000000,10000000,1000,4,8.70833e7,0.0,800004920,90
dataframesjl,increment_map,500000000,10000000,1000,4,4.331972e8,149900.0,4000004920,90
dataframesjl,increment_map,1000000000,10000000,1000,4,1.1147874e9,290700.0,8000004920,90
dtable,increment_map,1000000,10000000,1000,4,2.0317e6,0.0,8083248,1622
dtable,increment_map,10000000,10000000,1000,4,1.50822e7,0.0,80083248,1622
dtable,increment_map,100000000,10000000,1000,4,2.598071e8,0.0,806909632,120868
dtable,increment_map,500000000,10000000,1000,4,2.2366681e9,1.4571701e9,4004569712,91521
dtable,increment_map,1000000000,10000000,1000,4,5.0706993e9,3.5495451e9,8009718816,194244
