tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,increment_map,1000000,1000000,1000,4,1.7871599999999877e7,0.0,0,0
dask,increment_map,10000000,1000000,1000,4,4.617819999999995e7,0.0,0,0
dask,increment_map,100000000,1000000,1000,4,2.2856459999999988e8,0.0,0,0
dask,increment_map,500000000,1000000,1000,4,1.1082896000000005e9,0.0,0,0
dask,increment_map,1000000000,1000000,1000,4,2.74117911e10,0.0,0,0
dataframesjl,increment_map,1000000,1000000,1000,4,927300.0,0.0,8004920,90
dataframesjl,increment_map,10000000,1000000,1000,4,8.6164e6,0.0,80004920,90
dataframesjl,increment_map,100000000,1000000,1000,4,8.70833e7,0.0,800004920,90
dataframesjl,increment_map,500000000,1000000,1000,4,4.331972e8,149900.0,4000004920,90
dataframesjl,increment_map,1000000000,1000000,1000,4,1.1147874e9,290700.0,8000004920,90
dtable,increment_map,1000000,1000000,1000,4,1.9506e6,0.0,8083248,1622
dtable,increment_map,10000000,1000000,1000,4,1.03307e7,0.0,80839296,16795
dtable,increment_map,100000000,1000000,1000,4,2.158209e8,7.96014e7,816129904,288008
dtable,increment_map,500000000,1000000,1000,4,8.368484e8,2.982307e8,4061351616,891695
dtable,increment_map,1000000000,1000000,1000,4,1.5104302e9,4.344969e8,8125881792,1831964
