tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,reduce_var_all,1000000,10000000,1000,4,1.7623610000000012e8,0.0,0,0
dask,reduce_var_all,10000000,10000000,1000,4,1.3133268999999998e9,0.0,0,0
dask,reduce_var_all,100000000,10000000,1000,4,4.771668099999999e9,0.0,0,0
dask,reduce_var_all,500000000,10000000,1000,4,2.50054656e10,0.0,0,0
dask,reduce_var_all,1000000000,10000000,1000,4,8.05272195e10,0.0,0,0
dataframesjl,reduce_var_all,1000000,10000000,1000,4,8.3328e6,0.0,13728,277
dataframesjl,reduce_var_all,10000000,10000000,1000,4,8.25051e7,0.0,13728,277
dataframesjl,reduce_var_all,100000000,10000000,1000,4,8.357511e8,0.0,13728,277
dataframesjl,reduce_var_all,500000000,10000000,1000,4,4.2094282e9,0.0,13728,277
dataframesjl,reduce_var_all,1000000000,10000000,1000,4,9.9491908e9,0.0,13728,277
dtable,reduce_var_all,1000000,10000000,1000,4,1.11428e7,0.0,1109312,21323
dtable,reduce_var_all,10000000,10000000,1000,4,8.74122e7,0.0,1083040,21073
dtable,reduce_var_all,100000000,10000000,1000,4,1.753773e8,0.0,2029664,41041
dtable,reduce_var_all,500000000,10000000,1000,4,7.93146e8,0.0,7664674,143506
dtable,reduce_var_all,1000000000,10000000,1000,4,1.5789461e9,0.0,17176512,278244
