tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,reduce_var_all,1000000,1000000,10000,4,1.6434219999999967e8,0.0,0,0
dask,reduce_var_all,10000000,1000000,10000,4,5.100593e8,0.0,0,0
dask,reduce_var_all,100000000,1000000,10000,4,3.959061199999999e9,0.0,0,0
dask,reduce_var_all,500000000,1000000,10000,4,2.1042575300000004e10,0.0,0,0
dask,reduce_var_all,1000000000,1000000,10000,4,8.100058629999998e10,0.0,0,0
dataframesjl,reduce_var_all,1000000,1000000,10000,4,8.342e6,0.0,13728,277
dataframesjl,reduce_var_all,10000000,1000000,10000,4,8.26143e7,0.0,13728,277
dataframesjl,reduce_var_all,100000000,1000000,10000,4,8.396409e8,0.0,13728,277
dataframesjl,reduce_var_all,500000000,1000000,10000,4,4.1324901e9,0.0,13728,277
dataframesjl,reduce_var_all,1000000000,1000000,10000,4,9.7691605e9,0.0,13728,277
dtable,reduce_var_all,1000000,1000000,10000,4,1.09747e7,0.0,1091056,20931
dtable,reduce_var_all,10000000,1000000,10000,4,2.24677e7,0.0,2094912,42588
dtable,reduce_var_all,100000000,1000000,10000,4,1.697468e8,0.0,16028688,252368
dtable,reduce_var_all,500000000,1000000,10000,4,8.731798e8,1.0948e7,78325985,1265510
dtable,reduce_var_all,1000000000,1000000,10000,4,1.8063191e9,4.9906e7,161620689,2661155
