tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,reduce_var_single,1000000,10000000,1000,4,3.729499999999986e7,0.0,0,0
dask,reduce_var_single,10000000,10000000,1000,4,1.5507990000000006e8,0.0,0,0
dask,reduce_var_single,100000000,10000000,1000,4,8.197416999999998e8,0.0,0,0
dask,reduce_var_single,500000000,10000000,1000,4,4.222162900000001e9,0.0,0,0
dask,reduce_var_single,1000000000,10000000,1000,4,5.127292579999999e10,0.0,0,0
dataframesjl,reduce_var_single,1000000,10000000,1000,4,2.1149e6,0.0,4856,85
dataframesjl,reduce_var_single,10000000,10000000,1000,4,2.06499e7,0.0,4856,85
dataframesjl,reduce_var_single,100000000,10000000,1000,4,2.07467e8,0.0,4856,85
dataframesjl,reduce_var_single,500000000,10000000,1000,4,1.0524697e9,0.0,4856,85
dataframesjl,reduce_var_single,1000000000,10000000,1000,4,2.0701779e9,0.0,4856,85
dtable,reduce_var_single,1000000,10000000,1000,4,3.6894e6,0.0,528016,10154
dtable,reduce_var_single,10000000,10000000,1000,4,2.27974e7,0.0,560288,10790
dtable,reduce_var_single,100000000,10000000,1000,4,4.55846e7,0.0,1435488,29174
dtable,reduce_var_single,500000000,10000000,1000,4,2.048815e8,0.0,7197376,110713
dtable,reduce_var_single,1000000000,10000000,1000,4,3.893718e8,0.0,14395472,225859
