tech,type,n,chunksize,unique_vals,ncolumns,time,gctime,memory,allocs
dask,reduce_var_single,1000000,10000000,10000,4,3.541470000000002e7,0.0,0,0
dask,reduce_var_single,10000000,10000000,10000,4,1.581184000000002e8,0.0,0,0
dask,reduce_var_single,100000000,10000000,10000,4,7.316973000000005e8,0.0,0,0
dask,reduce_var_single,500000000,10000000,10000,4,4.321964699999995e9,0.0,0,0
dask,reduce_var_single,1000000000,10000000,10000,4,5.1547188799999985e10,0.0,0,0
dataframesjl,reduce_var_single,1000000,10000000,10000,4,2.115e6,0.0,4856,85
dataframesjl,reduce_var_single,10000000,10000000,10000,4,2.06763e7,0.0,4856,85
dataframesjl,reduce_var_single,100000000,10000000,10000,4,2.061852e8,0.0,4856,85
dataframesjl,reduce_var_single,500000000,10000000,10000,4,1.0318884e9,0.0,4856,85
dataframesjl,reduce_var_single,1000000000,10000000,10000,4,2.062141e9,0.0,4856,85
dtable,reduce_var_single,1000000,10000000,10000,4,3.5456e6,0.0,529104,10155
dtable,reduce_var_single,10000000,10000000,10000,4,2.25704e7,0.0,563552,10908
dtable,reduce_var_single,100000000,10000000,10000,4,4.63151e7,0.0,1431392,29080
dtable,reduce_var_single,500000000,10000000,10000,4,2.069724e8,0.0,7058064,107529
dtable,reduce_var_single,1000000000,10000000,10000,4,3.874782e8,0.0,14015984,219480
